estdepartureairport,estarrivalairport,Hour,Date,flight_count
00AL,KHUA,18,2018-12-26,1
00AS,KHSD,00,2018-06-11,1
00AZ,KCHD,20,2018-08-12,1
00AZ,KDVT,22,2018-10-05,1
00AZ,KFFZ,17,2018-12-09,1
00AZ,KGYR,23,2018-06-12,1
00AZ,KTUS,01,2018-06-09,1
00FA,KVDF,22,2018-12-13,1
00KS,40KS,17,2018-10-18,1
00KS,GA53,16,2018-08-12,1
00KS,KIXD,16,2018-10-18,1
00NC,59NC,21,2018-07-08,1
00NC,7NC6,19,2018-10-17,1
00NC,KDAL,16,2018-12-11,1
00NC,MO88,11,2018-06-30,1
00NC,OI41,20,2018-09-07,1
00NY,KBQR,20,2018-08-12,1
00VA,33VA,22,2018-12-03,1
00VA,KSIF,18,2018-12-26,2
00VA,KW78,19,2018-11-14,1
00WA,KORS,23,2018-06-22,1
00WI,KRNT,16,2018-07-24,1
00WI,WI67,23,2018-07-22,1
01CL,KSAC,23,2018-07-10,1
01CL,KSJC,00,2018-06-12,1
01FA,FL50,22,2018-10-05,1
01FA,KHWO,06,2018-10-17,1
01FA,KLEE,14,2018-08-12,1
01FL,5FL0,16,2018-10-17,1
01FL,6FD2,14,2018-10-17,1
01FL,FA18,21,2018-10-05,1
01FL,FD49,20,2018-10-05,1
01FL,FD86,14,2018-10-18,1
01FL,FL16,13,2018-10-18,1
01FL,KDFW,13,2018-10-17,1
01FL,KOPF,15,2018-10-17,2
01FL,KSFB,14,2018-10-02,7
01FL,KXFL,23,2018-10-17,1
01IA,KLOT,16,2018-07-08,1
01II,52IN,22,2018-08-12,1
01NH,KLEB,16,2018-12-26,1
01TE,TS54,14,2018-12-26,1
01TX,KEDC,15,2018-06-09,1
01TX,KF44,03,2018-10-05,1
01VA,KFME,23,2018-12-23,1
01VA,KJYO,21,2018-10-18,3
02FA,KTNT,22,2018-12-10,1
02II,90IL,23,2018-09-06,1
02II,II15,16,2018-12-09,1
02II,KGAI,16,2018-12-09,1
02II,KLAF,20,2018-08-13,1
02II,KTYQ,18,2018-12-09,1
02II,KVPZ,21,2018-08-12,1
02IN,07KY,14,2018-08-12,1
02IN,II81,19,2018-10-02,1
02IN,XS01,11,2018-10-17,1
02MD,7NY0,00,2018-07-14,1
02ME,KGNV,11,2018-10-18,1
02ME,NH43,13,2018-07-08,1
02MO,KSET,15,2018-06-18,1
02MU,62OK,18,2018-12-09,1
02MU,KEOS,18,2018-12-24,3
02MU,OK30,15,2018-10-18,1
02TN,TN65,22,2018-06-11,1
02TX,KF49,21,2018-12-09,1
02XS,KDFW,14,2018-08-12,1
02XS,KODO,17,2018-06-27,1
02XS,KPWA,21,2018-07-08,1
02XS,KSDL,14,2018-08-13,1
03CO,KAPA,16,2018-06-28,1
03FA,4FL8,01,2018-12-13,1
03FA,92FL,15,2018-12-11,1
03IN,K13C,18,2018-08-12,1
03NY,KABE,22,2018-06-27,1
03NY,KCDW,00,2018-06-18,2
03NY,KFRG,21,2018-06-18,2
03NY,KHPN,17,2018-06-12,1
03NY,KLGA,20,2018-07-08,1
03NY,KPOU,02,2018-08-01,1
03NY,KTEB,14,2018-06-18,2
03NY,KWHP,16,2018-08-12,1
03NY,PN33,17,2018-07-08,1
03OK,40OK,13,2018-07-25,1
03OK,6OK9,23,2018-09-15,1
03OK,KOMA,14,2018-08-12,1
03PS,34PN,15,2018-10-02,1
03WA,KPSC,04,2018-06-27,1
03XS,KT27,14,2018-10-02,1
04CA,CL13,14,2018-07-16,1
04CA,KSBD,17,2018-12-24,1
04CL,KFUL,20,2018-12-09,1
04CL,KRNM,21,2018-06-28,1
04LL,0WI6,19,2018-12-11,1
04LL,5WI5,14,2018-08-12,1
04LL,KDPA,20,2018-06-18,1
04LL,KGRB,20,2018-12-09,1
04LL,KPWK,22,2018-12-26,1
04LL,LL10,21,2018-07-08,1
04LL,LL22,16,2018-08-01,1
04MI,K45G,18,2018-09-07,1
04MI,KJXN,13,2018-05-27,1
04MI,KOZW,23,2018-07-08,1
04MO,MU21,22,2018-06-27,1
04WA,KPSC,23,2018-06-27,1
05AR,KROG,17,2018-09-07,1
05CL,KCCR,23,2018-07-10,1
05IN,KLAX,19,2018-06-27,1
05IN,TN58,18,2018-06-28,1
05MD,KFME,00,2018-06-18,1
05MD,KTEB,22,2018-06-11,3
05MD,KX59,14,2018-06-18,1
05OK,0OK3,23,2018-06-22,1
05TE,40TE,00,2018-06-27,1
05TE,40XS,17,2018-08-01,1
05TE,4TX8,07,2018-06-18,1
05TX,0TX1,14,2018-08-01,1
06FA,0FL9,16,2018-12-13,1
06FA,8GA3,10,2018-12-11,1
06FA,CT96,16,2018-09-20,1
06FA,FA09,17,2018-09-15,1
06FA,KM01,13,2018-09-19,1
06MO,KDDC,13,2018-11-14,1
06NY,23NK,17,2018-08-12,1
06OH,K62D,18,2018-12-13,1
06OR,OG02,23,2018-12-08,1
06OR,OR81,17,2018-12-13,1
06TN,KMBT,17,2018-06-09,1
06TX,KDWH,23,2018-10-10,1
06WI,KMIC,00,2018-08-01,1
06WN,KBFI,16,2018-08-12,1
06WN,KZ10,17,2018-06-12,1
06WN,WA09,21,2018-07-08,1
07AA,PAMR,23,2018-07-10,1
07AA,PAWS,20,2018-06-28,1
07FA,0WI7,11,2018-10-18,1
07FA,KMIA,12,2018-10-05,1
07FA,KSTP,18,2018-12-09,1
07FA,KTEB,16,2018-12-09,1
07FA,KTMB,19,2018-04-26,1
07FA,KYIP,16,2018-04-01,1
07FA,NH76,20,2018-12-09,1
07MD,14VA,19,2018-12-24,1
07MD,41NC,16,2018-10-05,1
07MD,KFME,16,2018-12-13,1
07MD,KJYO,18,2018-06-18,1
07MD,PA47,18,2018-12-13,1
07TS,1XA4,23,2018-07-22,1
07TS,57XS,20,2018-06-12,1
07TS,KDAL,13,2018-12-26,1
07TS,KDTO,16,2018-12-11,1
07TS,TA75,14,2018-08-13,1
07TS,TX92,21,2018-12-09,2
07TS,XS17,22,2018-07-25,1
08LL,LL34,20,2018-12-09,1
08MA,5CT6,18,2018-09-19,1
08ND,MN49,21,2018-07-30,1
08VA,VA85,16,2018-12-26,1
08XA,KMWL,14,2018-06-12,1
09CL,CA21,21,2018-08-12,1
09CL,KCCR,02,2018-08-13,1
09CO,KPUB,15,2018-06-12,1
09GA,KTVI,16,2018-12-13,1
09ME,K3B4,17,2018-12-11,1
09ME,KBVY,17,2018-06-09,1
09ME,KCON,13,2018-07-08,1
09ME,KDAW,15,2018-06-09,1
09ME,KPSM,16,2018-12-26,1
09ME,MA86,15,2018-09-16,1
09NC,64NC,23,2018-09-18,1
09NC,70NC,18,2018-10-05,1
09NC,K43A,14,2018-08-12,1
09NC,KDLZ,15,2018-10-05,1
09NC,KHBI,13,2018-06-09,1
09NC,KRDU,21,2018-09-19,2
09NE,72NE,00,2018-09-19,1
09NR,KMMT,15,2018-12-26,1
09PA,68NY,00,2018-10-08,1
09PA,IN65,21,2018-11-10,1
09PA,KIND,12,2018-12-11,1
0AK2,PANC,01,2018-07-08,1
0AL9,KM22,22,2018-09-07,1
0AL9,KMSL,20,2018-08-12,1
0AR3,AR94,19,2018-10-02,1
0CA3,1CA1,01,2018-11-11,1
0CA3,5CL1,00,2018-12-09,1
0CA3,CA88,22,2018-10-05,1
0CA3,KHHR,19,2018-06-12,1
0CA3,KIZA,17,2018-10-05,1
0CA3,KSBA,19,2018-06-12,1
0CA3,KWHP,23,2018-06-22,1
0CA5,KUDD,19,2018-10-17,1
0CA8,KSNA,00,2018-06-12,1
0CA9,KLGB,22,2018-12-09,1
0CA9,KSBP,01,2018-09-07,3
0CA9,KSMO,23,2018-10-17,1
0CD7,KBJC,18,2018-06-09,2
0CL1,KTOA,20,2018-08-12,1
0CL1,KWHP,14,2018-09-19,1
0FA1,4FL9,16,2018-12-13,1
0FA1,FA44,11,2018-06-18,1
0FA1,FL57,23,2018-11-28,1
0FA1,KLAL,16,2018-11-14,1
0FD0,KDAB,16,2018-06-18,2
0FD9,KTLH,15,2018-10-18,1
0FL9,KFXE,23,2018-12-11,2
0FL9,KHWO,17,2018-12-24,2
0FL9,KMIA,12,2018-09-19,1
0GA2,33GA,16,2018-12-24,1
0GA2,GA18,18,2018-12-24,1
0GA2,SC33,17,2018-12-26,1
0GE0,FA40,21,2018-08-17,1
0GE0,KFTY,14,2018-06-18,1
0GE1,KSEM,22,2018-12-03,1
0II1,KLAF,23,2018-09-20,1
0II6,MI86,14,2018-10-18,1
0II9,96IS,16,2018-08-01,1
0II9,KHNB,23,2018-09-12,1
0IL8,13KY,14,2018-11-14,1
0IL8,KBMI,20,2018-12-09,1
0IL8,KDPA,00,2018-08-01,1
0IL9,K3F7,16,2018-10-18,1
0IL9,KRFD,19,2018-12-11,1
0IN1,II49,16,2018-09-19,1
0IN5,KJVY,03,2018-07-25,1
0KS2,KOJC,17,2018-07-25,1
0KS2,KTOP,23,2018-08-13,1
0KS2,SN59,19,2018-10-18,1
0KS3,97KS,21,2018-12-13,1
0KS3,KIXD,23,2018-12-09,1
0LA2,LA15,19,2018-06-12,1
0LA2,LA76,14,2018-09-19,1
0LA9,LS34,23,2018-08-01,1
0LL4,K02C,15,2018-06-27,1
0LL6,IS62,19,2018-12-09,1
0LL6,KCCR,12,2018-06-11,1
0LL6,KMSN,12,2018-08-12,1
0MD1,14PS,23,2018-07-14,1
0MD1,KMMU,17,2018-12-09,1
0MD6,KFME,22,2018-09-19,1
0MN1,24WI,14,2018-10-18,1
0MN8,KANE,13,2018-06-12,1
0MN8,KFCM,16,2018-08-12,1
0MO2,KVIH,21,2018-08-12,1
0NC7,14PS,13,2018-08-12,1
0NC7,3VA3,14,2018-10-05,1
0NJ5,23DE,20,2018-12-09,1
0NJ5,KSMQ,14,2018-12-09,1
0NJ6,KMQS,14,2018-06-18,1
0OH9,64OH,12,2018-10-02,1
0OH9,77LL,20,2018-07-08,1
0OH9,KBNA,10,2018-06-18,1
0OH9,KHEF,17,2018-08-12,1
0OH9,KIAD,15,2018-09-07,1
0OH9,KPWK,03,2018-10-02,2
0OH9,KUGN,12,2018-10-02,1
0OK5,KCUH,17,2018-10-17,1
0OK6,0OK5,11,2018-08-01,1
0OK6,KCUH,17,2018-10-02,1
0OK6,KGOK,19,2018-07-25,2
0OK6,KRKR,13,2018-10-05,1
0OK6,KSAT,20,2018-10-18,1
0OK8,KT67,22,2018-11-11,1
0OK8,TE24,13,2018-08-12,1
0OK9,03OK,00,2018-10-05,1
0OR8,86WA,21,2018-09-06,1
0OR9,K4S2,17,2018-05-21,1
0OR9,KPAE,21,2018-12-24,1
0PA0,3PA9,21,2018-11-14,1
0PA0,PS54,16,2018-06-09,1
0PA4,61NJ,13,2018-12-09,1
0PA4,KABE,00,2018-06-27,1
0PA4,KFRG,00,2018-06-27,1
0PA4,KIAG,11,2018-09-19,1
0PA4,KMMU,17,2018-09-07,1
0PA6,5NC3,16,2018-10-18,1
0PA7,KHWV,21,2018-10-02,1
0PS4,KBTP,20,2018-10-05,1
0TA8,KTKI,23,2018-12-21,1
0TN0,41TN,14,2018-09-19,1
0TN5,7TN3,23,2018-09-12,1
0TN5,KJWN,13,2018-10-18,1
0TN5,KM01,15,2018-08-12,1
0TN5,KSEM,17,2018-10-17,1
0TN5,TN79,19,2018-10-18,1
0TN5,TN81,15,2018-06-09,1
0TS2,3TX2,17,2018-06-09,1
0TS2,45TX,14,2018-10-05,1
0TS2,7XS1,12,2018-08-01,1
0TS2,95TS,18,2018-09-19,1
0TS2,K07F,18,2018-06-28,1
0TS2,KHOU,15,2018-10-02,1
0TS2,TE99,16,2018-09-07,1
0TS5,8TA8,22,2018-11-14,2
0TS5,TS51,14,2018-08-13,1
0TS7,KFTW,14,2018-06-28,1
0TX1,62TX,21,2018-10-05,1
0TX1,KBAZ,12,2018-08-01,1
0TX1,KGPM,12,2018-06-09,1
0TX1,KSEP,23,2018-11-15,2
0VA1,6VA4,17,2018-12-11,1
0VA5,3VA3,16,2018-09-19,1
0VA5,KHWV,23,2018-12-12,1
0VA9,3VA8,16,2018-07-08,1
0WA1,6WA2,19,2018-10-02,1
0WA1,KFHR,15,2018-09-19,1
0WA1,WN92,21,2018-06-04,1
0WI2,KCWA,19,2018-08-12,1
0WI5,3NC4,02,2018-11-14,1
0WI5,3WI1,12,2018-07-25,1
0WI5,KBUF,20,2018-12-24,1
0WI5,KENW,13,2018-10-18,1
0WI5,KMYJ,16,2018-07-25,1
0WI5,KRYY,14,2018-12-26,1
0WI5,KSTL,20,2018-10-18,1
0WI7,K02C,14,2018-08-01,1
0WI7,KBAK,09,2018-10-18,1
0WI7,KPCZ,23,2018-07-30,1
0WI8,WS55,12,2018-08-12,1
0WN0,7WA0,17,2018-08-12,1
0WN0,CYYJ,21,2018-08-12,1
0WN1,KBFI,17,2018-08-01,1
0WN2,KALW,17,2018-09-19,1
0WN5,MO24,19,2018-10-18,1
0WN5,WI71,18,2018-11-14,1
10AZ,5AZ3,22,2018-12-13,1
10AZ,KGYR,17,2018-10-05,2
10FA,KSFB,21,2018-10-05,1
10FA,KX04,19,2018-08-12,1
10IN,KRWN,20,2018-11-14,1
10TN,KEYE,22,2018-07-05,1
10TN,KJWN,18,2018-07-25,1
10TN,TN79,15,2018-06-09,1
10XS,KBWD,16,2018-09-19,1
10XS,KRBD,20,2018-10-05,1
11AZ,42AZ,18,2018-09-06,1
11IN,IN03,17,2018-09-19,1
11MO,IS85,20,2018-06-27,1
11OR,OG36,13,2018-08-01,1
11TS,22TE,00,2018-06-09,1
11TX,9TX7,13,2018-06-12,1
11TX,KADS,14,2018-10-02,1
11TX,KSDL,21,2018-12-25,1
11TX,KT67,21,2018-12-09,1
12CA,7CL9,20,2018-08-01,1
12CA,KC83,01,2018-10-17,1
12II,4II2,22,2018-12-09,1
12ME,0NC7,11,2018-08-13,1
12ME,KIWI,09,2018-07-08,1
12ME,MA52,16,2018-08-12,1
12SC,0GA2,20,2018-12-11,1
12SC,KCAE,14,2018-11-14,1
12SC,KCZL,17,2018-12-24,1
12SC,KEOE,13,2018-06-28,1
12SC,KFDW,18,2018-12-26,1
12TS,TE76,17,2018-06-09,1
12TX,69TE,16,2018-08-01,1
12WA,04WA,22,2018-12-09,1
12XA,KH92,11,2018-10-26,1
12XA,KINK,00,2018-08-12,1
13AZ,KDVT,03,2018-10-18,1
13AZ,KFFZ,23,2018-10-16,1
13AZ,KSDL,22,2018-07-25,1
13CL,KDVO,23,2018-09-06,1
13CL,KLVK,03,2018-09-19,1
13CL,KMHR,00,2018-06-09,1
13CL,KOAK,23,2018-05-29,1
13CL,KPAO,01,2018-08-12,2
13CL,KSQL,22,2018-12-24,1
13CL,KVCB,16,2018-06-28,1
13CL,KWVI,17,2018-12-24,2
13GA,AL41,12,2018-11-14,1
13IA,KMSN,13,2018-07-08,1
13PN,7NY6,12,2018-12-09,1
13WI,6IL2,22,2018-12-09,1
13WI,KFLD,23,2018-07-22,1
14AK,1AK6,01,2018-06-09,1
14FA,07FA,17,2018-10-05,1
14FA,KTMB,13,2018-08-12,1
14KS,00KS,17,2018-12-09,1
14MI,4GA9,21,2018-09-21,1
14MI,7MI6,22,2018-10-18,1
14MI,CYHZ,20,2018-10-02,1
14MI,IN43,12,2018-10-18,1
14MI,K08C,17,2018-06-18,1
14MI,K6D6,11,2018-07-08,1
14MI,KMDW,15,2018-12-13,1
14MI,KPTK,19,2018-10-17,1
14PS,0NJ6,20,2018-06-18,1
14PS,6MD2,20,2018-10-02,1
14PS,7NJ7,19,2018-10-05,1
14PS,DE07,23,2018-07-08,1
14PS,KEZF,17,2018-08-12,1
14VA,KJYO,15,2018-09-07,1
14WA,KCLS,18,2018-06-11,1
14WA,KU42,21,2018-10-08,1
14XA,XA48,22,2018-09-19,1
15FL,KGNV,20,2018-12-13,1
15IA,77LL,15,2018-09-07,1
15LL,4IS8,21,2018-12-26,1
15MA,K3B0,18,2018-08-12,1
15VA,KIAD,12,2018-06-28,1
15VA,KJYO,16,2018-08-12,1
15WA,KBLI,02,2018-06-12,1
15WA,KFHR,21,2018-08-12,1
15WA,KORS,20,2018-08-12,1
16FA,KFXE,14,2018-11-14,1
16FD,85FA,19,2018-06-11,1
16II,56LL,16,2018-09-07,1
16IL,IS63,23,2018-12-08,1
16IL,KMSN,14,2018-08-12,1
16MI,0MN1,12,2018-08-12,1
16MI,29MI,23,2018-08-11,1
16MO,04MO,18,2018-09-19,1
16PA,59NC,01,2018-10-18,1
16PA,6PA8,19,2018-09-06,1
16PA,KN96,16,2018-10-05,1
16PA,KROG,18,2018-10-18,1
16TS,XS55,18,2018-10-05,1
16TX,7OK0,03,2018-12-24,1
16WA,6WA4,01,2018-06-22,1
16WA,KS50,22,2018-07-05,1
16XS,KOUN,15,2018-08-13,1
17CL,KHAF,20,2018-06-12,1
17CO,KBJC,23,2018-12-24,1
17II,2PS3,18,2018-07-30,1
17KS,4MO4,22,2018-12-13,1
17KS,KIXD,17,2018-12-09,1
17LL,40IL,00,2018-12-13,1
17LL,IA68,01,2018-12-09,1
17MO,K1H0,04,2018-10-17,1
17OK,KCOS,18,2018-10-02,1
17TE,9TX5,16,2018-12-24,1
17TE,KSAT,21,2018-09-19,1
18AZ,42AZ,13,2018-06-12,1
18AZ,AZ71,13,2018-07-06,1
18AZ,AZ85,16,2018-11-14,1
18AZ,KAPC,15,2018-12-09,1
18AZ,KCNO,16,2018-06-18,1
18AZ,KDVT,18,2018-05-15,3
18AZ,KFFZ,17,2018-04-28,1
18AZ,KLMO,15,2018-12-24,1
18AZ,KLVK,16,2018-02-14,1
18AZ,KP52,19,2018-12-24,1
18AZ,KPAN,18,2018-12-09,1
18AZ,KPHX,23,2018-04-06,1
18AZ,KSEZ,15,2018-12-09,1
18AZ,SN59,13,2018-09-11,1
18II,KC91,14,2018-07-08,1
18ME,5NY5,17,2018-08-12,1
18ME,KBED,13,2018-10-17,1
18ME,KBVY,18,2018-06-18,1
18ME,KHPN,15,2018-09-19,1
18ME,KRKD,09,2018-06-09,1
18ME,NY09,18,2018-09-11,1
18OR,KVNY,00,2018-11-14,1
19AZ,KFFZ,23,2018-10-26,1
19AZ,KPHX,00,2018-07-25,1
19IN,K5I4,17,2018-08-12,1
19IN,KFKR,00,2018-06-28,1
19IN,KTYQ,13,2018-10-18,1
19IN,LL51,15,2018-08-12,1
19NY,PN40,21,2018-07-08,1
1AK8,1AK6,23,2018-06-30,1
1AR5,21MU,17,2018-12-24,1
1AR5,KVBT,20,2018-12-24,1
1AZ0,KBXK,15,2018-02-14,2
1AZ0,KCHD,23,2018-01-05,4
1AZ0,KFFZ,23,2018-02-22,1
1AZ0,KGEU,15,2018-04-28,1
1AZ0,KGYR,23,2018-06-13,6
1AZ2,KA39,17,2018-12-26,1
1AZ2,KGYR,23,2018-07-31,1
1CL1,0CA9,20,2018-10-10,1
1CL1,33CA,20,2018-12-09,1
1CO2,KBJC,23,2018-10-04,1
1CO2,KTEX,17,2018-07-22,1
1CO3,KGXY,15,2018-06-28,1
1CO4,KTEX,15,2018-08-12,1
1CO7,K1V6,23,2018-12-10,1
1CO7,KAPA,21,2018-10-05,1
1GA5,GA53,17,2018-08-13,1
1GA5,KSYV,19,2018-12-13,1
1GA8,FL47,20,2018-10-18,1
1ID3,KBFI,00,2018-12-11,1
1ID3,KRNT,22,2018-11-28,1
1II0,KHFY,19,2018-10-17,1
1II5,KLAF,02,2018-10-05,1
1IN5,90IN,13,2018-08-12,1
1IN5,KBAK,00,2018-08-01,1
1IN5,KPTK,21,2018-10-18,1
1IS4,KRPJ,15,2018-10-17,1
1IS5,KC77,00,2018-08-12,1
1KS1,97KS,17,2018-10-02,1
1KS1,KOJC,16,2018-12-11,1
1KS5,TN77,16,2018-12-09,1
1LL0,KLAF,23,2018-08-17,1
1LL7,KMZZ,17,2018-07-25,1
1LL8,II25,20,2018-12-09,1
1LS0,LA15,18,2018-12-09,1
1MA5,09MA,20,2018-10-05,1
1MA5,KPYM,14,2018-12-09,1
1MD1,KFDK,14,2018-09-07,1
1MD8,KGAI,22,2018-12-11,1
1MD8,PS25,14,2018-07-08,1
1MI5,68MI,14,2018-08-12,1
1MN8,KANE,23,2018-12-11,1
1MN8,KGYL,20,2018-10-18,1
1MO2,KMKC,17,2018-12-09,1
1MO2,SN59,23,2018-11-15,1
1MU0,20OK,14,2018-08-01,1
1MU4,K4K3,15,2018-07-08,1
1MU4,NX01,13,2018-12-11,1
1MU8,KIXD,22,2018-09-07,1
1MU8,KSTJ,15,2018-08-12,1
1NC8,5NC3,21,2018-10-05,1
1NC8,88VA,22,2018-11-11,1
1NC8,NC31,21,2018-06-18,1
1NE5,KAPA,15,2018-08-01,1
1NE5,KOMA,20,2018-09-07,1
1NY5,CT42,16,2018-12-09,1
1NY5,K39N,17,2018-12-09,1
1NY5,K3C8,22,2018-07-08,1
1NY5,KFRG,08,2018-07-08,1
1NY5,KHPN,20,2018-09-19,1
1NY5,KJFK,17,2018-06-27,1
1NY5,KOWD,21,2018-09-11,1
1NY5,KOXC,13,2018-07-25,1
1OA7,KTTN,17,2018-09-11,1
1OA8,33OH,22,2018-11-14,2
1OA8,KDLZ,18,2018-10-18,1
1OA8,OH93,12,2018-07-08,1
1OH3,1OH2,12,2018-09-19,1
1OK0,03OK,23,2018-07-16,1
1OK0,10OK,13,2018-08-12,1
1OK0,54OK,23,2018-07-31,1
1OK0,K3F7,21,2018-08-12,6
1OK0,OK13,17,2018-07-25,1
1OK8,KPWA,23,2018-12-10,1
1OK9,K1L0,23,2018-06-27,1
1OR3,KMDW,22,2018-11-13,1
1OR3,KPAE,23,2018-12-08,1
1OR3,OG02,22,2018-12-24,1
1OR3,WN24,23,2018-12-03,1
1OR4,6OR8,19,2018-12-24,1
1PA5,KBVI,12,2018-09-19,1
1PA5,PN16,22,2018-09-19,1
1PA6,KBLI,20,2018-09-06,1
1PA6,KFRG,14,2018-06-09,1
1PA6,KN57,22,2018-08-12,2
1PA6,KTEB,14,2018-08-12,1
1PA6,MI11,16,2018-06-27,1
1PA6,NJ20,13,2018-09-07,1
1PA9,KPHL,13,2018-12-26,1
1PN0,KCDW,20,2018-09-19,1
1PN0,KPNE,23,2018-09-06,1
1PN0,KTTN,00,2018-10-18,1
1PN1,3PN6,23,2018-07-08,1
1PN1,8OH3,00,2018-10-17,2
1PN1,OH27,15,2018-12-09,1
1PN1,PN25,20,2018-09-19,1
1PS0,KTTN,01,2018-07-08,1
1PS9,KOQN,19,2018-06-12,1
1TA7,K76F,20,2018-12-09,1
1TA7,TA86,20,2018-12-09,1
1TE3,62OK,19,2018-08-12,1
1TE3,KFTW,05,2018-11-14,1
1TE8,06XS,18,2018-08-12,1
1TE8,2TS0,18,2018-11-14,1
1TE8,KADS,16,2018-12-24,4
1TE8,KTKI,21,2018-12-21,1
1TS1,KEYQ,17,2018-07-08,1
1TS3,16TS,01,2018-06-27,1
1TS3,21XS,15,2018-10-02,1
1TS3,7TA0,02,2018-10-05,1
1TS3,KMAF,21,2018-09-07,1
1TS3,KSGR,00,2018-09-19,1
1TS3,LA48,14,2018-07-08,1
1TS8,KMDD,19,2018-07-25,1
1TX1,67TE,01,2018-06-11,1
1TX4,40XS,21,2018-12-24,1
1TX4,KAQO,19,2018-12-09,1
1VA5,KFME,17,2018-08-12,1
1VA9,11VG,18,2018-10-17,1
1VA9,3VA3,19,2018-09-07,1
1VA9,K2W6,19,2018-10-18,1
1VA9,KJYO,13,2018-06-09,1
1VA9,NK12,11,2018-08-12,1
1VA9,VA57,17,2018-09-19,1
1VG2,KAPG,15,2018-12-09,1
1VG2,KBWI,11,2018-09-07,1
1VG2,KW32,18,2018-12-13,1
1VG2,MD50,14,2018-08-12,1
1WA6,KAWO,18,2018-12-24,1
1WA6,KRNT,00,2018-06-11,1
1WA9,61WA,16,2018-08-13,1
1WA9,KBFI,23,2018-09-06,2
1WA9,KBLI,21,2018-08-13,1
1WA9,KESW,17,2018-10-15,1
1WA9,KFHR,23,2018-12-06,2
1WA9,WN51,18,2018-06-12,1
1WI0,6WI7,16,2018-07-08,1
1WI0,WI69,21,2018-07-08,1
1WI1,KTYQ,23,2018-07-24,1
1WI1,WN09,17,2018-08-12,1
1WI6,KRAC,15,2018-08-12,1
1WI8,KC29,19,2018-08-12,1
1WI9,KUNU,02,2018-10-05,1
1WN0,K1S9,01,2018-08-01,1
1WN1,KDEH,21,2018-08-13,1
1WN1,KMSN,16,2018-08-12,1
1WN3,KOEO,16,2018-12-09,1
1WN3,WN86,20,2018-11-14,1
1XA0,1TE0,18,2018-09-19,1
1XA0,4XA3,22,2018-08-17,1
1XA4,KEYQ,16,2018-06-28,1
1XA5,KHYI,18,2018-08-01,3
1XA6,K52F,23,2018-12-23,1
1XA8,XS55,16,2018-12-24,1
1XS2,K0F2,19,2018-06-09,1
1XS2,KDAL,20,2018-07-08,1
1XS2,KEYQ,21,2018-08-12,1
1XS2,KIAH,21,2018-06-28,1
1XS2,TX75,18,2018-09-07,1
20AK,PANC,23,2018-07-14,1
20FD,1FD2,19,2018-10-05,1
20FD,KMDQ,14,2018-12-11,1
20FL,22FA,13,2018-12-11,1
20FL,KSPG,13,2018-12-13,1
20IN,5LL3,21,2018-07-11,1
20NY,KDKK,12,2018-07-08,1
20TS,5TE7,16,2018-10-17,1
20WA,WA22,21,2018-09-19,1
21AK,PAMR,03,2018-07-25,1
21FA,KXFL,13,2018-06-11,1
21FL,0FA1,20,2018-12-11,1
21MO,KOJC,00,2018-12-24,1
21MU,KASG,22,2018-06-13,1
21MU,KFYV,23,2018-09-15,1
21NH,98ME,13,2018-12-24,1
21NH,KLWM,17,2018-09-07,1
21NH,KPSM,18,2018-09-07,1
21OG,KOAK,16,2018-10-02,1
21OG,KRNO,22,2018-10-04,1
21OG,OR19,20,2018-12-13,1
21XS,02XS,13,2018-10-17,1
21XS,7TS2,21,2018-10-18,1
21XS,KHYI,13,2018-08-12,1
21XS,KIWS,19,2018-07-25,1
21XS,KSAT,12,2018-10-17,1
22IL,KPVB,16,2018-06-27,1
22IL,WI81,15,2018-06-28,1
22MD,KGAI,16,2018-10-17,1
22MD,KJYO,22,2018-08-13,1
22NC,5NC3,17,2018-09-07,1
22NC,7NC6,18,2018-06-27,1
22OI,KLAF,16,2018-10-05,1
22WA,KBVS,20,2018-06-11,1
23AZ,KDVT,21,2018-10-18,1
23CD,KDDC,18,2018-11-14,1
23CN,61CL,13,2018-10-05,1
23CN,KCPM,18,2018-12-26,3
23CN,KGXY,15,2018-12-11,1
23CN,KHHR,23,2018-12-23,2
23CN,KLAX,02,2018-12-24,1
23CN,KSEE,14,2018-10-17,1
23DE,FA24,15,2018-12-13,1
23FL,KVDF,11,2018-06-11,1
23MO,KIXD,16,2018-08-01,1
23NJ,KCKZ,15,2018-12-09,1
24CT,KAFN,12,2018-09-07,1
24CT,KMVY,20,2018-10-02,1
24IN,MD21,13,2018-08-12,1
24ME,KFRG,00,2018-08-12,1
24OH,7PS7,12,2018-10-02,1
24SC,KCUB,21,2018-02-23,1
24SC,KDAN,20,2018-04-28,2
24SC,KOGB,18,2018-05-03,1
24SC,KRDU,23,2018-09-06,1
24SC,KSSC,15,2018-12-11,1
24SC,SC90,14,2018-10-17,1
24XA,02XS,04,2018-09-19,1
24XA,6TS2,18,2018-09-19,1
24XA,98KS,20,2018-11-13,1
24XA,K50R,17,2018-10-05,1
24XA,KHOU,10,2018-10-05,1
25CD,KAPA,19,2018-12-09,1
25CL,CA16,17,2018-08-12,1
25CO,KAPA,20,2018-06-12,1
25IN,3IN2,18,2018-12-26,1
25IN,KIRS,15,2018-12-09,1
25IN,OH17,19,2018-10-18,1
25NC,KJNX,19,2018-10-02,1
25TS,KDHT,23,2018-12-03,1
