05,2018-01-01,KJFK,11
06,2018-01-01,KJFK,8
07,2018-01-01,KJFK,2
08,2018-01-01,KJFK,1
10,2018-01-01,KJFK,1
11,2018-01-01,KJFK,7
12,2018-01-01,KJFK,21
13,2018-01-01,KJFK,32
14,2018-01-01,KJFK,35
15,2018-01-01,KJFK,24
16,2018-01-01,KJFK,16
17,2018-01-01,KJFK,26
18,2018-01-01,KJFK,9
19,2018-01-01,KJFK,18
20,2018-01-01,KJFK,21
21,2018-01-01,KJFK,21
22,2018-01-01,KJFK,25
23,2018-01-01,KJFK,23
00,2018-01-02,KJFK,24
01,2018-01-02,KJFK,22
02,2018-01-02,KJFK,17
03,2018-01-02,KJFK,12
04,2018-01-02,KJFK,13
05,2018-01-02,KJFK,8
06,2018-01-02,KJFK,3
07,2018-01-02,KJFK,1
08,2018-01-02,KJFK,1
09,2018-01-02,KJFK,2
10,2018-01-02,KJFK,2
11,2018-01-02,KJFK,6
12,2018-01-02,KJFK,14
13,2018-01-02,KJFK,34
14,2018-01-02,KJFK,20
15,2018-01-02,KJFK,18
16,2018-01-02,KJFK,20
17,2018-01-02,KJFK,13
18,2018-01-02,KJFK,16
19,2018-01-02,KJFK,13
20,2018-01-02,KJFK,21
21,2018-01-02,KJFK,22
22,2018-01-02,KJFK,31
23,2018-01-02,KJFK,32
00,2018-01-03,KJFK,25
01,2018-01-03,KJFK,25
02,2018-01-03,KJFK,32
03,2018-01-03,KJFK,25
04,2018-01-03,KJFK,20
05,2018-01-03,KJFK,17
06,2018-01-03,KJFK,7
07,2018-01-03,KJFK,3
08,2018-01-03,KJFK,1
09,2018-01-03,KJFK,1
10,2018-01-03,KJFK,3
11,2018-01-03,KJFK,9
12,2018-01-03,KJFK,27
13,2018-01-03,KJFK,46
14,2018-01-03,KJFK,32
15,2018-01-03,KJFK,23
16,2018-01-03,KJFK,23
17,2018-01-03,KJFK,12
18,2018-01-03,KJFK,11
19,2018-01-03,KJFK,17
20,2018-01-03,KJFK,25
21,2018-01-03,KJFK,23
22,2018-01-03,KJFK,16
23,2018-01-03,KJFK,21
00,2018-01-04,KJFK,32
01,2018-01-04,KJFK,33
02,2018-01-04,KJFK,29
03,2018-01-04,KJFK,15
04,2018-01-04,KJFK,15
05,2018-01-04,KJFK,9
06,2018-01-04,KJFK,9
07,2018-01-04,KJFK,3
08,2018-01-04,KJFK,1
10,2018-01-04,KJFK,2
11,2018-01-04,KJFK,4
12,2018-01-04,KJFK,13
13,2018-01-04,KJFK,8
14,2018-01-04,KJFK,4
15,2018-01-04,KJFK,2
12,2018-01-05,KJFK,2
13,2018-01-05,KJFK,3
14,2018-01-05,KJFK,3
15,2018-01-05,KJFK,5
16,2018-01-05,KJFK,1
17,2018-01-05,KJFK,11
18,2018-01-05,KJFK,9
